"","Location","Period","Date","Week","NO2_Concentration"
"61","Sweden",2020,"2019-12-22","2019-12-22 to 2019-12-28",4.94695450470317e-05
"62","Sweden",2020,"2019-12-29","2019-12-29 to 2020-01-04",3.81504978577141e-05
"63","Sweden",2020,"2020-01-05","2020-01-05 to 2020-01-11",3.71234818885569e-05
"64","Sweden",2020,"2020-01-12","2020-01-12 to 2020-01-18",4.26597798650619e-05
"65","Sweden",2020,"2020-01-19","2020-01-19 to 2020-01-25",2.78797469945857e-05
"66","Sweden",2020,"2020-01-26","2020-01-26 to 2020-02-01",1.55418547365116e-05
"67","Sweden",2020,"2020-02-02","2020-02-02 to 2020-02-08",1.25263659356278e-05
"68","Sweden",2020,"2020-02-09","2020-02-09 to 2020-02-15",6.66757705403143e-06
"69","Sweden",2020,"2020-02-16","2020-02-16 to 2020-02-22",1.30842672660947e-05
"70","Sweden",2020,"2020-02-23","2020-02-23 to 2020-02-29",1.25166534417076e-05
"71","Sweden",2020,"2020-03-02","2020-03-02 to 2020-03-08",1.39752855830011e-05
"72","Sweden",2020,"2020-03-09","2020-03-09 to 2020-03-15",8.3122376963729e-06
"73","Sweden",2020,"2020-03-16","2020-03-16 to 2020-03-22",5.44927343071322e-06
"74","Sweden",2020,"2020-03-23","2020-03-23 to 2020-03-29",1.66987356351456e-05
"75","Sweden",2020,"2020-03-30","2020-03-30 to 2020-04-05",1.40385682243505e-05
"76","Sweden",2020,"2020-04-06","2020-04-06 to 2020-04-12",1.09686679934384e-05
"77","Sweden",2020,"2020-04-13","2020-04-13 to 2020-04-19",1.12044535853784e-05
"78","Sweden",2020,"2020-04-20","2020-04-20 to 2020-04-26",1.56627229443984e-05
"79","Sweden",2020,"2020-04-27","2020-04-27 to 2020-05-03",1.06736852103495e-05
"80","Sweden",2020,"2020-05-04","2020-05-04 to 2020-05-10",1.14114163807244e-05
"81","Sweden",2020,"2020-05-11","2020-05-11 to 2020-05-17",7.30873080101446e-06
"82","Sweden",2020,"2020-05-18","2020-05-18 to 2020-05-24",1.62925261975033e-05
"83","Sweden",2020,"2020-05-25","2020-05-25 to 2020-05-31",1.14683080028044e-05
"84","Sweden",2020,"2020-06-01","2020-06-01 to 2020-06-07",8.27173880679766e-06
