"","Location","Period","Date","Week","NO2_Concentration"
"60","Lithuania",2020,"2019-12-15","2019-12-15 to 2019-12-21",4.73915824841242e-05
"61","Lithuania",2020,"2019-12-22","2019-12-22 to 2019-12-28",1.71124484040774e-05
"62","Lithuania",2020,"2019-12-29","2019-12-29 to 2020-01-04",4.22281373175792e-05
"63","Lithuania",2020,"2020-01-05","2020-01-05 to 2020-01-11",2.88279552478343e-05
"64","Lithuania",2020,"2020-01-12","2020-01-12 to 2020-01-18",4.78442816529423e-05
"65","Lithuania",2020,"2020-01-19","2020-01-19 to 2020-01-25",1.62648084369721e-05
"66","Lithuania",2020,"2020-01-26","2020-01-26 to 2020-02-01",3.6107736377744e-05
"67","Lithuania",2020,"2020-02-02","2020-02-02 to 2020-02-08",8.57789291330846e-06
"68","Lithuania",2020,"2020-02-09","2020-02-09 to 2020-02-15",5.93481527175754e-05
"69","Lithuania",2020,"2020-02-16","2020-02-16 to 2020-02-22",4.11585351685062e-05
"70","Lithuania",2020,"2020-02-23","2020-02-23 to 2020-02-29",3.5420660424279e-05
"71","Lithuania",2020,"2020-03-02","2020-03-02 to 2020-03-08",2.8567694243975e-05
"72","Lithuania",2020,"2020-03-09","2020-03-09 to 2020-03-15",1.54178360389778e-05
"73","Lithuania",2020,"2020-03-16","2020-03-16 to 2020-03-22",2.63450619968353e-05
"74","Lithuania",2020,"2020-03-23","2020-03-23 to 2020-03-29",2.26955871767132e-05
"75","Lithuania",2020,"2020-03-30","2020-03-30 to 2020-04-05",1.65220117196441e-05
"76","Lithuania",2020,"2020-04-06","2020-04-06 to 2020-04-12",2.37791919062147e-05
"77","Lithuania",2020,"2020-04-13","2020-04-13 to 2020-04-19",1.66427289514104e-05
"78","Lithuania",2020,"2020-04-20","2020-04-20 to 2020-04-26",2.70155633188551e-05
"79","Lithuania",2020,"2020-04-27","2020-04-27 to 2020-05-03",2.23463612201158e-05
"80","Lithuania",2020,"2020-05-04","2020-05-04 to 2020-05-10",2.01609964278759e-05
"81","Lithuania",2020,"2020-05-11","2020-05-11 to 2020-05-17",1.83944630407495e-05
"82","Lithuania",2020,"2020-05-18","2020-05-18 to 2020-05-24",1.49799489008728e-05
"83","Lithuania",2020,"2020-05-25","2020-05-25 to 2020-05-31",9.37211189011578e-06
"84","Lithuania",2020,"2020-06-01","2020-06-01 to 2020-06-07",2.04681000468554e-05
"85","Lithuania",2020,"2020-06-08","2020-06-08 to 2020-06-14",1.83813590410864e-05
"86","Lithuania",2020,"2020-06-15","2020-06-15 to 2020-06-21",2.30772729992168e-05
"87","Lithuania",2020,"2020-06-22","2020-06-22 to 2020-06-28",1.99198893824359e-05
"88","Lithuania",2020,"2020-06-29","2020-06-29 to 2020-07-05",2.06507957045687e-05
"89","Lithuania",2020,"2020-07-06","2020-07-06 to 2020-07-12",1.25304341054289e-05
"90","Lithuania",2020,"2020-07-13","2020-07-13 to 2020-07-19",9.48615161178168e-06
"91","Lithuania",2020,"2020-07-20","2020-07-20 to 2020-07-26",1.15969833132112e-05
"92","Lithuania",2020,"2020-07-27","2020-07-27 to 2020-08-02",1.56271107698558e-05
"93","Lithuania",2020,"2020-08-03","2020-08-03 to 2020-08-09",2.03478175535565e-05
"94","Lithuania",2020,"2020-08-10","2020-08-10 to 2020-08-16",1.44495515996823e-05
"95","Lithuania",2020,"2020-08-17","2020-08-17 to 2020-08-23",2.28330645768438e-05
