"Latitude","Longitude","pm_estimate","ozone_estimate","no2_estimate","so2_estimate","co_estimate","Time_range"
27.5,-82.5,9.11809766292572,0.0275984085164964,6.056356549263,0.998249709606171,0.279622733592987,"07-2018 to 10-2018"
27.5,-81.5,9.20175957679749,0.0272916061803699,5.88487458229065,0.952471300959587,0.276867792010307,"07-2018 to 10-2018"
27.5,-80.5,9.19884967803955,0.0273713823407888,5.66466701030731,0.960442245006561,0.272469080984592,"07-2018 to 10-2018"
28.5,-82.5,9.13496840000153,0.0275232098065317,7.80790627002716,0.984655246138573,0.282183405011892,"07-2018 to 10-2018"
28.5,-81.5,9.21511125564575,0.0273559642955661,5.79096639156342,0.997256696224213,0.276080783456564,"07-2018 to 10-2018"
29.5,-91.5,8.34542381763458,0.0216262559406459,4.13876080513,0.77651934325695,0.194045167416334,"07-2018 to 10-2018"
29.5,-90.5,8.34928786754608,0.0223015244118869,5.01870536804199,1.00758300721645,0.213123802095652,"07-2018 to 10-2018"
29.5,-82.5,9.21781039237976,0.0278010391630232,7.80539846420288,1.02035535126925,0.283429257571697,"07-2018 to 10-2018"
29.5,-81.5,9.24024319648743,0.027572728227824,5.65586340427399,1.03458888828754,0.274409607052803,"07-2018 to 10-2018"
30.5,-102.5,8.18025279045105,0.0395236657932401,5.61534750461578,0.892586097121239,0.22446671128273,"07-2018 to 10-2018"
30.5,-101.5,8.45561075210571,0.0350749492645264,5.01401484012604,0.531373426318169,0.235920716077089,"07-2018 to 10-2018"
30.5,-100.5,8.59145522117615,0.030977473128587,4.8731027841568,0.424779497087002,0.250660877674818,"07-2018 to 10-2018"
30.5,-99.5,8.77692580223083,0.0299763693474233,4.85028719902039,0.303617294877768,0.258670669049025,"07-2018 to 10-2018"
30.5,-98.5,8.83002638816833,0.0286680669523776,5.06972873210907,0.237063309177756,0.267428837716579,"07-2018 to 10-2018"
30.5,-97.5,8.99541544914246,0.0280402465723455,6.07624006271362,0.342656705994159,0.281001549214125,"07-2018 to 10-2018"
30.5,-96.5,8.96850717067719,0.0275017381645739,4.93966007232666,0.369000729173422,0.262832470238209,"07-2018 to 10-2018"
30.5,-95.5,9.17108941078186,0.0245755692012608,4.78538775444031,0.447504818439484,0.237470556050539,"07-2018 to 10-2018"
30.5,-94.5,9.37694573402405,0.0233783009462059,4.85344457626343,0.498360067605972,0.221980843693018,"07-2018 to 10-2018"
30.5,-93.5,9.04135298728943,0.022944079246372,5.34784054756165,0.406656298786402,0.198082771152258,"07-2018 to 10-2018"
30.5,-92.5,8.55244934558868,0.0237003723159432,4.7483012676239,0.524059746414423,0.186585478484631,"07-2018 to 10-2018"
30.5,-91.5,8.33543503284454,0.0221762731671333,5.10902833938599,0.595608547329903,0.178715333342552,"07-2018 to 10-2018"
30.5,-90.5,8.3353385925293,0.0223391437903047,3.67721939086914,0.848803609609604,0.199444461613894,"07-2018 to 10-2018"
30.5,-89.5,8.06117939949036,0.025089387781918,4.97805869579315,0.970345392823219,0.211492609232664,"07-2018 to 10-2018"
30.5,-88.5,8.84573435783386,0.0275812153704464,3.52459192276001,1.07316104322672,0.208876565098763,"07-2018 to 10-2018"
30.5,-87.5,8.75004184246063,0.0262704691849649,4.06377822160721,1.00341981649399,0.224850278347731,"07-2018 to 10-2018"
30.5,-86.5,8.74811720848083,0.0265722922049463,5.0168097615242,1.00572874397039,0.251673635095358,"07-2018 to 10-2018"
30.5,-85.5,8.70369708538055,0.0271008056588471,8.34101259708405,1.10846932977438,0.278527673333883,"07-2018 to 10-2018"
30.5,-84.5,9.13486182689667,0.0270398100838065,8.9829648733139,1.2231131196022,0.293148558586836,"07-2018 to 10-2018"
30.5,-83.5,9.1819384098053,0.0271563925780356,8.81570816040039,1.21277636289597,0.294734835624695,"07-2018 to 10-2018"
30.5,-82.5,9.22792959213257,0.0279412702657282,7.85951256752014,1.09848625957966,0.284409288316965,"07-2018 to 10-2018"
30.5,-81.5,9.30906927585602,0.0281231934204698,5.45894837379456,1.10628987848759,0.270803764462471,"07-2018 to 10-2018"
31.5,-111.5,5.33286416530609,0.0362970093265176,6.03247785568237,1.33777420222759,0.173682805150747,"07-2018 to 10-2018"
31.5,-110.5,5.51713705062866,0.0370327951386571,5.76608216762543,1.42739875614643,0.171692553907633,"07-2018 to 10-2018"
31.5,-109.5,5.68039894104004,0.0387622509151697,5.66572940349579,1.81905418634415,0.174328926950693,"07-2018 to 10-2018"
31.5,-108.5,5.32848262786865,0.03903535194695,5.87751233577728,1.93571703135967,0.183687452226877,"07-2018 to 10-2018"
31.5,-105.5,5.51339221000671,0.0423686876893044,5.88906216621399,1.86882400512695,0.200583208352327,"07-2018 to 10-2018"
31.5,-104.5,6.13897812366486,0.043866609223187,5.58879745006561,2.20614271610975,0.196796212345362,"07-2018 to 10-2018"
31.5,-103.5,8.22209322452545,0.0434672366827726,5.60203218460083,1.62281538546085,0.202016454190016,"07-2018 to 10-2018"
31.5,-102.5,8.54253995418549,0.0411150176078081,6.25620460510254,0.635270118713379,0.223126783967018,"07-2018 to 10-2018"
31.5,-101.5,8.44687044620514,0.0358047652989626,4.9802588224411,0.658899500966072,0.233214665204287,"07-2018 to 10-2018"
31.5,-100.5,8.68021249771118,0.031202420592308,5.13603007793427,0.636995643377304,0.255472231656313,"07-2018 to 10-2018"
31.5,-99.5,8.98072838783264,0.0296807163394988,5.13684725761414,0.41524338722229,0.25629485398531,"07-2018 to 10-2018"
31.5,-98.5,8.99894285202026,0.0294716418720782,5.06968849897385,0.300337698310614,0.255911502987146,"07-2018 to 10-2018"
