Date,Country,City,Specie,min,max,median,variance
3/16/20,US,Seattle,no2,3.8,28.8,10.2,269.94
2/1/20,US,Seattle,no2,1,17.6,2.8,159.32
2/12/20,US,Seattle,no2,4.7,35.2,17.6,917.1
2/20/20,US,Seattle,no2,1.9,49.1,29.7,1431.46
2/27/20,US,Seattle,no2,3.8,35.2,14.9,538.33
3/11/20,US,Seattle,no2,2.8,28.8,9.3,390.52
3/14/20,US,Seattle,no2,1.9,11.2,5.6,62.56
1/20/20,US,Seattle,no2,1.9,30.6,17.6,554.89
2/17/20,US,Seattle,no2,3.8,37.1,11.2,700.03
1/25/20,CN,Wuhan,no2,1.9,21.5,4.6,54.64
12/30/19,CN,Wuhan,no2,6.4,38.9,22.4,678.72
12/31/19,CN,Wuhan,no2,6.4,38,19.7,484.16
1/5/20,CN,Wuhan,no2,6,34.3,17.9,167.08
1/22/20,CN,Wuhan,no2,4.2,24.7,11.9,170.66
2/2/20,CN,Wuhan,no2,3.2,40.7,11.5,580.36
2/5/20,CN,Wuhan,no2,2.8,50.4,10.1,856.55
2/15/20,CN,Wuhan,no2,1.4,11,3.7,37.11
2/22/20,CN,Wuhan,no2,1.9,20.6,7.8,132.86
1/2/20,CN,Wuhan,no2,7.8,28.8,20.6,185.07
1/7/20,CN,Wuhan,no2,4.6,33.9,15.1,301.97
1/21/20,CN,Wuhan,no2,5.5,38.9,17.9,391.3
2/29/20,CN,Wuhan,no2,1,24.7,6.4,122.28
3/6/20,CN,Wuhan,no2,1.9,21.5,7.8,87.52
3/26/20,CN,Wuhan,no2,1.4,23.8,8.3,167.43
1/12/20,CN,Wuhan,no2,6.4,45.3,24.3,787.62
3/15/20,CN,Wuhan,no2,1.9,39.8,7.8,416.71
4/3/20,CN,Wuhan,no2,3.2,32.5,9.2,179.88
3/11/20,CN,Wuhan,no2,1.9,41.2,9.2,444.42
3/16/20,CN,Wuhan,no2,3.2,41.6,11,330.13
3/19/20,CN,Wuhan,no2,3.2,39.8,8.3,407.98
3/30/20,CN,Wuhan,no2,1,21.5,6,100.38
2/12/20,CN,Wuhan,no2,1.4,24.7,8.7,221.31
2/19/20,CN,Wuhan,no2,2.3,22,8.3,126.78
3/5/20,CN,Wuhan,no2,2.3,28.8,7.8,203.99
2/21/20,CN,Wuhan,no2,2.3,29.3,7.4,190.75
3/9/20,CN,Wuhan,no2,1.4,21.5,5.5,72.62
1/3/20,CN,Wuhan,no2,11.9,28.4,22,119.5
1/29/20,CN,Wuhan,no2,1.9,29.3,7.4,171.69
2/8/20,CN,Wuhan,no2,1,23.8,5.1,94.03
1/10/20,CN,Wuhan,no2,3.2,23.8,13.3,169.38
2/13/20,CN,Wuhan,no2,1.4,22,9.6,178.57
3/2/20,CN,Wuhan,no2,1.9,27.5,5.5,76.91
2/25/20,CN,Wuhan,no2,2.8,33,7.4,269.35
3/3/20,CN,Wuhan,no2,1,21.5,6.4,169.85
1/8/20,CN,Wuhan,no2,2.8,30.7,15.1,278.37
1/16/20,CN,Wuhan,no2,4.6,21.5,10.6,105.42
2/24/20,CN,Wuhan,no2,1,28.4,7.4,217.14
3/1/20,CN,Wuhan,no2,1,17.4,5.1,65.71
3/18/20,CN,Wuhan,no2,1.9,34.3,6.9,281.55
3/25/20,CN,Wuhan,no2,0.5,23.4,9.2,117.01
3/31/20,CN,Wuhan,no2,0.5,29.3,9.2,152.57
4/4/20,CN,Wuhan,no2,2.8,47.6,10.1,394.91
1/31/20,CN,Wuhan,no2,2.3,43,11.9,566.31
2/7/20,CN,Wuhan,no2,1,7.8,4.2,27.2
2/17/20,CN,Wuhan,no2,1,27.5,6,243.64
